Shazam Library
Index,TagTime,Title,Artist,URL,TrackKey
1,2023-01-04,"All About You","Jah Khalib",https://www.shazam.com/track/512972975/all-about-you,512972975
2,2023-01-04,"Анечка (Live)","Anna Asti",https://www.shazam.com/track/623779940/-,623779940
3,2022-12-22,"Модная","Султан Лагучев",https://www.shazam.com/track/641454273/%D0%BC%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F,641454273
4,2022-12-22,"Самая нежная","Даша Эпова",https://www.shazam.com/track/630799044/%D1%81%D0%B0%D0%BC%D0%B0%D1%8F-%D0%BD%D0%B5%D0%B6%D0%BD%D0%B0%D1%8F,630799044
5,2022-12-21,"Не люби","Ислам Итляшев",https://www.shazam.com/track/644384288/%D0%BD%D0%B5-%D0%BB%D1%8E%D0%B1%D0%B8,644384288
6,2022-12-21,"La-La-La (На закате)","MriD",https://www.shazam.com/track/645284787/la-la-la-%D0%BD%D0%B0-%D0%B7%D0%B0%D0%BA%D0%B0%D1%82%D0%B5,645284787
7,2022-12-21,"POPSTAR","INSTASAMKA",https://www.shazam.com/track/627898636/popstar,627898636
8,2022-12-21,"Сияй","Sevak",https://www.shazam.com/track/622861143/%D1%81%D0%B8%D1%8F%D0%B9,622861143
9,2022-12-21,"Holding On (Dimitris Athanasiou Remix)","GeoM",https://www.shazam.com/track/524789657/holding-on-dimitris-athanasiou-remix,524789657
10,2022-12-21,"Танцуют с хулиганами","ARCHI",https://www.shazam.com/track/645835893/%D1%82%D0%B0%D0%BD%D1%86%D1%83%D1%8E%D1%82-%D1%81-%D1%85%D1%83%D0%BB%D0%B8%D0%B3%D0%B0%D0%BD%D0%B0%D0%BC%D0%B8,645835893
11,2022-12-16,"Мой рай","JONY",https://www.shazam.com/track/643401595/%D0%BC%D0%BE%D0%B9-%D1%80%D0%B0%D0%B9,643401595
12,2022-12-16,"Монро","Slavik Pogosov",https://www.shazam.com/track/631003204/%D0%BC%D0%BE%D0%BD%D1%80%D0%BE,631003204
13,2022-12-16,"Давай забудем (feat. TARAS)","Артём Качер",https://www.shazam.com/track/506626739/%D0%B4%D0%B0%D0%B2%D0%B0%D0%B9-%D0%B7%D0%B0%D0%B1%D1%83%D0%B4%D0%B5%D0%BC-feat-taras,506626739
14,2022-12-14,"Скажи мне/Asa du","JANAGA",https://www.shazam.com/track/629908034/%D1%81%D0%BA%D0%B0%D0%B6%D0%B8-%D0%BC%D0%BD%D0%B5-asa-du,629908034
15,2022-12-14,"Тамада","ТАТАРИН",https://www.shazam.com/track/614134004/%D1%82%D0%B0%D0%BC%D0%B0%D0%B4%D0%B0,614134004
16,2022-12-14,"Суперстерва","T1One",https://www.shazam.com/track/585979922/%D1%81%D1%83%D0%BF%D0%B5%D1%80%D1%81%D1%82%D0%B5%D1%80%D0%B2%D0%B0,585979922
17,2022-12-14,"Мастер и Маргарита (feat. Юна)","Баста",https://www.shazam.com/track/342968938/%D0%BC%D0%B0%D1%81%D1%82%D0%B5%D1%80-%D0%B8-%D0%BC%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D1%82%D0%B0-feat-%D1%8E%D0%BD%D0%B0,342968938
18,2022-12-14,"911","Асия",https://www.shazam.com/track/620457780/911,620457780
19,2022-12-13,"Хотел сказать","Mull3",https://www.shazam.com/track/520890784/%D1%85%D0%BE%D1%82%D0%B5%D0%BB-%D1%81%D0%BA%D0%B0%D0%B7%D0%B0%D1%82%D1%8C,520890784
20,2022-12-13,"bad idea","Ariana Grande",https://www.shazam.com/track/457375571/bad-idea,457375571
21,2022-12-13,"4 to the Floor (feat. Nikol Apatini)","HUGEL, Stefy De Cicco & Hugo Cantarra",https://www.shazam.com/track/547576289/4-to-the-floor-feat-nikol-apatini,547576289
